family,recordCount,splits,roles,taskTypes
approval_boundary_samples,115,,,
codebase_home_corpus,482,,,codebase_home_grounding;codebase_home_overview
codebase_home_sft,482,,,codebase_home_grounding;codebase_home_overview
cortex_routing,69,,,
dpo_preference_pairs,53,train,,
embedding_corpus,1051,,,
embedding_dataset_card,1,,,
embedding_eval_retrieval,1220,,,
embedding_hard_negatives,1220,,,
embedding_train_pairs,1098,train,,
embedding_train_triplets,1102,train,,
embedding_val_pairs,122,validation,,
embedding_val_triplets,118,validation,,
eval_scenarios,550,eval,,hallucinated_tool_rejection;routing_matrix_adherence;tool_runtime_scenario_selection;tool_schema_adherence;user_output_safety
executor_tool_calls,53,,,
manifest_grounding_cards,4,train,,
mimicry_style,3,,,
mouth_responses,53,,,
negative_samples,53,,,
rem_reflection,5,,,
runtime_audit_repairs,42,train,mouth;runtime,runtime_manifest_drift_repair
tool_schema_cards,91,train,,
train_sft,298,train,cortex;executor;mimicry;mouth;rem;tool_executor,ambiguous_request;approval_granted;approval_rejected;approval_required_tool;intent_routing;permission_unavailable;reflection_and_memory_policy;style_profile_detection;tool_call_generation;tool_id_repair;user_response_generation
validation_sft,53,validation,tool_executor,ambiguous_request;approval_granted;approval_rejected;approval_required_tool;permission_unavailable
